Localisation;UTM-FA;METHODE
Acton Vale;2650;
Ange-Gardien;2800;
Bedford;2900;
Birchton;2400;municipalité la plus proche, Cookshire-eaton
Bury;2300;
Champlain;2550;
Coaticook;2400;
Compton;2550;
Cookshire;2400;
Coteau-du-lac;2900;
Cowansville;2800;
Danville;2450;
Dundee;3000;
Dunham;2850;municipalité la plus proche, Stanbridge east 
East Angus;2300;
Farnham;2800;
Franklin;2950;
Frelighsburg;2600;
Howick;3000;
Hudson;2850;
Joliette;2750;
L'Acadie;2950;
L'Assomption;2900;
La Patrie;2400;municipalité la plus proche, Cookshire-eaton
La Plaine;2850;
La Pocatière;2200;moyenne des indicateurs sur agrometeo quebec
La Prairie;3000;
La Présentation;2900;
Lacolle;2950;
Lennoxville;2400;municipalité la plus proche, Coaticook
Les Cèdres;2900;
MacDonald college;3000;municipalité la plus proche, Notre-dame-de-l'Île-perrot
Marieville;2900;
Martinville;2400;
Mirabel;2650;
Mont-Saint-Grégoire;3000;
Montérégie;3000;
Montmagny;2300;
Neuville;2400;
Nicolet;2500;
Notre-Dame-de-Stanbridge;2900;
Ormstown;3000;
Pike River;2950;
Princeville;2400;
Québec;2900;municipalité la plus proche, Saint-jean-baptiste
Riverfield;2950;municipalité la plus proche, Saint-chrysostome
Sabrevois;2950;
Saint-Aimé;2800;
Saint-Alexis;2600;
Saint-Alexis-de-Montcalm;2600;
Saint-Alphonse-de-Granby;2800;
Saint-Alphonse-Rodriguez;2350;municipalité la plus proche, Sainte-marcelline-de-kildare
Saint-Anicet;3000;
Saint-Antoine-sur-Richelieu;2900;
Saint-Arsène;2300;municipalité la plus proche, Cap-saint-ignace
Saint-Augustin Desmaures;2400;
Saint-Barnabé-Sud;2900;
Saint-Barthélémy;2626;
Saint-Bernard-de-Michaudville;2850;
Saint-Blaise;2950;
Saint-Bonaventure;2750;
Saint-Bruno-de-Montarville;2950;
Saint-Césaire;2900;
Saint-Charles-sur-Richelieu;2900;
Saint-Chrysostome;2950;
Saint-Clet;2800;
Saint-Cyprien-de-Napierville;2950;
Saint-Damase;2900;
Saint-David (Montérégie);2800;
Saint-Denis-sur-Richelieu;2900;
Saint-Dominique (Montérégie);2850;
Saint-Edmond (Centre du Québec);2700;
Saint-Édouard (Montérégie);2950;
Saint-Elphège;2700;
Saint-Éphrem-d'Upton;;
Saint-Esprit;2600;
Saint-François (Montmagny);2400;municipalité la plus proche, Saint-françois-de-l'Île-d'orléans
Saint-Guillaume;2800;
Saint-Hugues;2850;
Saint-Hyacinthe;2900;
Saint-Ignace-de-Stanbridge;2300;
Saint-Isidore-de-Dorchester;3000;
Saint-Jacques;2700;
Saint-Jacques-le-Mineur;2950;
Saint-Jean (Île-d’Orléans);2400;municipalité la plus proche, Saint-jean-de-l'Île-d'orléans
Saint-Jean-Baptiste (Montérégie);2900;
Saint-Jean-sur-Richelieu;2950;
Saint-Jude;2850;
Saint-Lambert-de-Lévis;3000;
Saint-Léonard-d'Aston;2500;
Saint-Liboire;2850;
Saint-Liguori;2600;
Saint-Lin;2700;
Saint-Louis-de-Gonzague;3000;
Saint-Marc-sur-Richelieu;2900;
Saint-Marcel-de-Richelieu;2850;
Saint-Mathias-sur-Richelieu;2900;
Saint-Mathieu-de-Beloeil;2900;
Saint-Michel-d'Yamaska;2950;
Saint-Ours;2850;
Saint-Paul-d'Abbotsford;2850;
Saint-Pie;2900;
Saint-Pie-de-Guire;2800;
Saint-Polycarpe;2800;
Saint-Robert;2800;
Saint-Roch-de-l'Achigan;2800;
Saint-Simon;2900;
Saint-Stanislas;2350;
Saint-Stanislas-de-Kostka;3000;
Saint-Sylvère;2400;
Saint-Théodore-d'Acton;2750;
Saint-Thomas-d'Aquin;2800;
Saint-Thomas-de-Joliette;2800;
Saint-Ubalde;2450;municipalité la plus proche, Saint-pierre-les-becquets
Saint-Urbain-Premier;3000;
Saint-Valentin;2950;
Saint-Valérien-de-Milton;2800;
Sainte-Angèle-de-Monnoir;2900;
Sainte-Anne-de-Bellevue;2950;
Sainte-Anne-des-Plaines;2700;
Sainte-Barbe;3000;
Sainte-Béatrix;2500;municipalité la plus proche, Rawdon
Sainte-Cécile-de-Milton;2800;
Sainte-Élisabeth-de-Warwick;2500;
Sainte-Hélène-de-Bagot;2800;
Sainte-Julienne;2600;
Sainte-Madeleine;2900;municipalité la plus proche, Mont-saint-hilaire
Sainte-Marie-de-Monnoir;2300;
Sainte-Martine;2900;municipalité la plus proche, Vaudreuil-dorion
Sainte-Mélanie;2500;
Sainte-Rosalie;2800;
Sainte-Victoire-de-Sorel;2800;
Shawville;2450;
Sherrington;2950;
Thetford Mines;2400;municipalité la plus proche, Plessisville
Tingwick;2350;
Upton;2800;
Varennes;2900;
Vaudreuil-Soulange;2900;municipalité la plus proche, Vaudreuil-dorion
Warwick;2500;
Yamachiche;2600;
